Timestamp | Severity | Message
20230204-16:20:12 | Information | Inhalte von https://raw.githubusercontent.com/AmnestyTech/investigations/master/2021-07-18_nso/domains.txt in .\Listen\Malware.txt geschrieben
20230204-16:20:12 | Information | Abrufen der URL: https://raw.githubusercontent.com/hagezi/dns-blocklists/main/domains/tif.txt
20230204-16:20:14 | Information | Inhalte von https://raw.githubusercontent.com/hagezi/dns-blocklists/main/domains/tif.txt in .\Listen\Malware.txt geschrieben
20230204-16:20:14 | Information | Beginne mit dem Update von PuDS
20230204-16:20:14 | Information | Abrufen der URL: https://raw.githubusercontent.com/RPiList/specials/master/Blocklisten/Streaming
20230204-16:20:14 | Information | Inhalte von https://raw.githubusercontent.com/RPiList/specials/master/Blocklisten/Streaming in .\Listen\Phishing_Domain-Squatting.txt geschrieben
20230204-16:20:14 | Information | Abrufen der URL: https://raw.githubusercontent.com/RPiList/specials/master/Blocklisten/notserious
20230204-16:20:15 | Information | Inhalte von https://raw.githubusercontent.com/RPiList/specials/master/Blocklisten/notserious in .\Listen\Phishing_Domain-Squatting.txt geschrieben
20230204-16:20:15 | Information | Abrufen der URL: https://raw.githubusercontent.com/Monstanner/DuckDuckGo-Fakeshops-Blocklist/main/Blockliste
20230204-16:20:15 | Information | Inhalte von https://raw.githubusercontent.com/Monstanner/DuckDuckGo-Fakeshops-Blocklist/main/Blockliste in .\Listen\Phishing_Domain-Squatting.txt geschrieben
20230204-16:20:15 | Information | Abrufen der URL: https://raw.githubusercontent.com/hagezi/dns-blocklists/main/domains/fake.txt
20230204-16:20:15 | Information | Inhalte von https://raw.githubusercontent.com/hagezi/dns-blocklists/main/domains/fake.txt in .\Listen\Phishing_Domain-Squatting.txt geschrieben
20230204-16:20:15 | Information | Beginne mit dem Update von Shops
20230204-16:20:15 | Information | Abrufen der URL: https://raw.githubusercontent.com/RPiList/specials/master/Blocklisten/Streaming
20230204-16:20:15 | Information | Inhalte von https://raw.githubusercontent.com/RPiList/specials/master/Blocklisten/Streaming in .\Listen\FakeshopsAboFallen.txt geschrieben
20230204-16:20:15 | Information | Abrufen der URL: https://raw.githubusercontent.com/RPiList/specials/master/Blocklisten/notserious
20230204-16:20:15 | Information | Inhalte von https://raw.githubusercontent.com/RPiList/specials/master/Blocklisten/notserious in .\Listen\FakeshopsAboFallen.txt geschrieben
20230204-16:20:15 | Information | Abrufen der URL: https://raw.githubusercontent.com/Monstanner/DuckDuckGo-Fakeshops-Blocklist/main/Blockliste
20230204-16:20:15 | Information | Inhalte von https://raw.githubusercontent.com/Monstanner/DuckDuckGo-Fakeshops-Blocklist/main/Blockliste in .\Listen\FakeshopsAboFallen.txt geschrieben
20230204-16:20:15 | Information | Abrufen der URL: https://raw.githubusercontent.com/hagezi/dns-blocklists/main/domains/fake.txt
20230204-16:20:16 | Information | Inhalte von https://raw.githubusercontent.com/hagezi/dns-blocklists/main/domains/fake.txt in .\Listen\FakeshopsAboFallen.txt geschrieben
20230204-16:20:16 | Information | Starte Optimierung von .\Listen\Sonstiges.txt 
20230204-16:20:55 | Information | Disclamer zu .\Listen\Sonstiges.txt hinzugefügt
20230204-16:20:55 | Information | Schreibe die Optimirten URLs in .\Listen\Sonstiges.txt 
20230204-16:21:21 | Information | Optimisirung abgeschlossen, in .\Listen\Sonstiges.txt es wurden 336 Doppelte ZRLs gefunden
20230204-16:21:21 | Information | Starte Optimierung von .\Listen\Tracking.txt 
20230204-16:21:42 | Information | Disclamer zu .\Listen\Tracking.txt hinzugefügt
20230204-16:21:42 | Information | Schreibe die Optimirten URLs in .\Listen\Tracking.txt 
20230204-16:22:02 | Information | Optimisirung abgeschlossen, in .\Listen\Tracking.txt es wurden 13818 Doppelte ZRLs gefunden
20230204-16:22:02 | Information | Starte Optimierung von .\Listen\Werbung.txt 
20230204-16:22:51 | Information | Disclamer zu .\Listen\Werbung.txt hinzugefügt
20230204-16:22:51 | Information | Schreibe die Optimirten URLs in .\Listen\Werbung.txt 
20230204-16:23:23 | Information | Optimisirung abgeschlossen, in .\Listen\Werbung.txt es wurden 201037 Doppelte ZRLs gefunden
